Month,Fire Emblem: (United States)
2004-01,13
2004-02,10
2004-03,9
2004-04,9
2004-05,9
2004-06,9
2004-07,8
2004-08,7
2004-09,7
2004-10,7
2004-11,7
2004-12,7
2005-01,6
2005-02,7
2005-03,7
2005-04,7
2005-05,12
2005-06,16
2005-07,13
2005-08,9
2005-09,6
2005-10,11
2005-11,11
2005-12,10
2006-01,9
2006-02,7
2006-03,7
2006-04,7
2006-05,7
2006-06,8
2006-07,8
2006-08,6
2006-09,5
2006-10,5
2006-11,5
2006-12,6
2007-01,5
2007-02,4
2007-03,5
2007-04,5
2007-05,5
2007-06,6
2007-07,7
2007-08,8
2007-09,6
2007-10,7
2007-11,12
2007-12,10
2008-01,8
2008-02,7
2008-03,8
2008-04,8
2008-05,8
2008-06,9
2008-07,9
2008-08,8
2008-09,6
2008-10,6
2008-11,7
2008-12,8
2009-01,7
2009-02,10
2009-03,9
2009-04,7
2009-05,7
2009-06,7
2009-07,8
2009-08,7
2009-09,5
2009-10,5
2009-11,5
2009-12,6
2010-01,6
2010-02,5
2010-03,5
2010-04,5
2010-05,5
2010-06,6
2010-07,7
2010-08,6
2010-09,4
2010-10,4
2010-11,5
2010-12,5
2011-01,5
2011-02,5
2011-03,4
2011-04,5
2011-05,5
2011-06,6
2011-07,6
2011-08,6
2011-09,5
2011-10,4
2011-11,4
2011-12,6
2012-01,5
2012-02,5
2012-03,5
2012-04,6
2012-05,6
2012-06,8
2012-07,7
2012-08,6
2012-09,5
2012-10,5
2012-11,5
2012-12,7
2013-01,12
2013-02,46
2013-03,28
2013-04,19
2013-05,18
2013-06,17
2013-07,16
2013-08,13
2013-09,11
2013-10,9
2013-11,10
2013-12,14
2014-01,17
2014-02,12
2014-03,12
2014-04,11
2014-05,12
2014-06,13
2014-07,19
2014-08,14
2014-09,12
2014-10,12
2014-11,12
2014-12,13
2015-01,20
2015-02,14
2015-03,14
2015-04,18
2015-05,16
2015-06,29
2015-07,28
2015-08,19
2015-09,14
2015-10,13
2015-11,16
2015-12,20
2016-01,28
2016-02,89
2016-03,78
2016-04,43
2016-05,34
2016-06,30
2016-07,25
2016-08,19
2016-09,14
2016-10,13
2016-11,12
2016-12,14
2017-01,29
2017-02,88
2017-03,52
2017-04,45
2017-05,54
2017-06,45
2017-07,37
2017-08,36
2017-09,38
2017-10,39
2017-11,35
2017-12,35
2018-01,35
2018-02,35
2018-03,33
2018-04,29
2018-05,28
2018-06,29
2018-07,25
2018-08,23
2018-09,20
2018-10,16
2018-11,16
2018-12,23
2019-01,25
2019-02,24
2019-03,18
2019-04,15
2019-05,18
2019-06,23
2019-07,71
2019-08,100
2019-09,42
2019-10,27
2019-11,22
2019-12,24
2020-01,33
2020-02,32
2020-03,25
2020-04,22
2020-05,21
2020-06,19
2020-07,20
2020-08,19
2020-09,16
2020-10,17
2020-11,16
2020-12,20
2021-01,18
2021-02,17
2021-03,15
2021-04,13
2021-05,13
2021-06,14
2021-07,14
2021-08,12
2021-09,9
2021-10,9
2021-11,9
2021-12,10
2022-01,10
2022-02,11
2022-03,9
